Gene,T-statistic (Deletion vs Neutral),P-value (Deletion vs Neutral),Cohen's d (Deletion vs Neutral)
TMSB4X,-3.3656846823580047,0.0061083664429114,-0.8398978575254639
TNPO1,-7.766208855563359,6.231169917224136e-08,-1.8928163206778696
TP53BP1,-5.410115134579659,0.0373443987962028,-1.6208987914850133
TPT1,-14.987800785498449,5.280015435858148e-07,-3.36161941559756
TRADD,-6.117331644917001,0.0003980942564884,-1.640688876667481
TRAP1,-12.52587656281153,0.0001836327187426,-2.860673681068057
TRAPPC2L,-3.037542182227523,0.0066349292417264,-0.728359782478736
TRIM2,-4.532352122941049,0.0060701300167911,-1.0979175120845868
TRMU,-3.939633655282642,0.0013635913635743,-1.8490945397043936
TSN,-24.30777965522532,1.3734395950746455e-09,-3.478130507187505
TSPO,-4.0173871539309705,0.001316169584087,-1.4893417634427828
TTC37,-9.383786002786373,7.059407349770521e-06,-2.3400090907297373
TTC38,-2.984785051334102,0.007668904893851,-1.303904847901998
TTLL12,-3.536069924035919,0.0183548825275679,-2.516219923744933
UGGT1,-17.954392782870197,3.5487606003243793e-20,-2.2620426176135084
UHRF2,-3.307940644949873,0.0336146085678667,-1.7392079014148385
USP10,-5.014955392111297,0.01290476352085,-2.417145941699421
VAC14,-7.420966902617804,4.625778446719081e-06,-1.867510029689492
VDAC3,-22.91730512800108,2.762250733706254e-28,-3.246624543978138
VPS18,-4.326165828531144,9.475260017189808e-05,-0.7175202712384088
VPS36,-7.020481609125587,0.0017173845473662,-1.687214080201339
VPS37A,-3.8931012811261625,0.001354500876057,-1.3693217076944255
VPS39,-3.320068625190153,0.0324300589618544,-1.5707716295186434
WDR7,6.771455396979668,0.0096669891580554,1.9156015137877256
WHSC1L1,-8.995423619501322,3.397055811590801e-07,-1.5919971397189614
WTAP,-4.103819817859484,0.0098457594340268,-1.5924494244023009
WWOX,-3.011445502992612,0.0139959047305978,-1.4123961486536716
XPO7,-9.541440032099676,1.76962350165395e-07,-3.855724516953837
XRCC4,-2.946613479311617,0.0084073459541351,-0.6422634767962984
YTHDC2,-6.381242944328549,0.0340135054237613,-2.03900065654016
ZADH2,-8.405108120364252,0.0027840721961369,-2.0973565668936933
ZC3H18,-4.727756646539947,0.0197718636765218,-1.592923425069027
ZFYVE16,-2.5671231067249214,0.0318120505779988,-0.882705199351272
ZFYVE19,-8.203602230647054,2.720470614265579e-09,-1.5044292369208865
