Drug,N_CellLines,Pearson_r,P_value,NegCorr
MIDOSTAURIN,11,0.18664935797407126,0.5826477764224964,False
"EEF2K INHIBITOR, A-484954",13,0.16761910268276886,0.5841304015739388,False
THZ-2-102-1,12,0.1759934714635415,0.5842864114981544,False
"SPHINGOSINE KINASE 1 INHIBITOR II, PF-543",13,0.16740989762910313,0.5846065331983017,False
AZD4547,10,0.19604146787059698,0.5872640346353281,False
LINSITINIB,11,0.12899966310360197,0.5877971465388915,False
OSIMERTINIB,10,-0.1957166239382298,0.5878959351622615,True
PRT062607,7,0.24477861467173612,0.5967873565236776,False
METHOTREXATE,12,0.16928488393954,0.598913692489093,False
BOSUTINIB,12,0.16670621251178058,0.6045729978059416,False
KU-57788,12,0.1655564992767053,0.6071027059447313,False
OLAPARIB,12,0.08978315898131786,0.61358610541512,False
"AICAR, N1-(B-D-RIBOFURANOSYL)-5-AMINOIMIDAZOLE-4-CARBOXAMIDE",12,0.16127314721551642,0.616562051887011,False
"PILARALISIB, XL-147",13,0.15239700845284287,0.6191680466409276,False
QL-XII-61,7,-0.22833823972768533,0.6223868647418481,True
"APO866, FK866",11,-0.13337571904377452,0.6224110104857685,True
CABOZANTINIB,12,-0.15848413153950625,0.6227503164944789,True
ALPELISIB,10,0.17758337548267117,0.6235568409070247,False
NVP-BHG712,12,-0.15788297034861346,0.6240871295416471,True
CX-5461,11,-0.16492644927543168,0.6279559006899859,True
"GNE-317, GNE317, GNE 317",10,0.17507599488979103,0.628545859480102,False
EPZ004777,10,0.1734809075063511,0.631726733155775,False
MN-64,7,0.2192874014811199,0.6366119677299158,False
MOTESANIB,12,-0.15025262423252292,0.6411442207238205,True
BAM7,13,-0.14227479927597841,0.6428899188121721,True
DOXORUBICIN,11,0.15706750239007644,0.6446460641611325,False
CHIR-99021,12,0.1037909089106523,0.6457670538504037,False
KIN001-042,13,0.13933406924317962,0.6498417302933616,False
"ML323, GTPL7898, AOB2313,",7,0.2093014047658364,0.6524102777965439,False
"UMI-77, UMI 77",10,-0.16231620360334703,0.6541411349463226,True
PAC-1,11,-0.1518157985441622,0.6558823719463349,True
KIN001-236,12,-0.14327349198052336,0.6568865552151191,True
IRINOTECAN,10,0.16000789384973535,0.6588072380332184,False
HG-5-113-01,7,0.20362385275739642,0.661439079552264,False
NPK76-II-72-1,12,-0.13929444864630447,0.6659199366774862,True
OBATOCLAX,11,0.10867029049364726,0.6677596356109996,False
XAV-939,12,0.10474573607412395,0.6695564025626554,False
GW 441756,12,0.13684303068166276,0.6715056889399076,False
OTX015,7,-0.19673799198040828,0.6724332442929972,True
BLEOMYCIN (50 UM),12,-0.13561960651883886,0.6742990963350854,True
I-BRD9,10,0.15170307659728124,0.6756817901567383,False
LY2109761,7,-0.19315538300724272,0.6781718624138121,True
"JNK-9L, KIN001-204",11,0.1389318725833682,0.683716854785722,False
OSI-027,12,0.12808657527739836,0.6915811766087583,False
ACY-1215,13,0.12172591261970936,0.6919981208894028,False
AZD7762,12,0.08845672572261866,0.69546523915441,False
MITOMYCIN-C,11,0.13069558674076698,0.7016999820926786,False
MPS-1-IN-1,12,-0.12035002452206829,0.7094718240077321,True
GSK2606414,7,0.17344666633536324,0.7099568478605571,False
ALECTINIB,12,0.11990096037205594,0.710514522170513,False
