,Gene
643,3422
644,22884
645,5214
646,10531
647,1646
648,8644
649,51806
650,2665
651,84991
652,5209
653,9231
654,11128
655,55107
656,8772
657,8500
658,2017
659,3636
660,81570
661,116985
662,10809
663,9873
664,9828
665,23201
666,5870
667,51642
668,51287
669,80227
670,51400
671,283209
672,387787
673,10714
674,9789
675,408
676,6188
677,871
678,80168
679,7405
680,7481
681,2615
682,726
683,1207
684,51773
685,28971
686,92105
687,65987
688,4718
689,79053
690,283219
691,9846
692,79731
693,26011
694,5547
695,51585
696,60492
697,55863
698,84233
699,8301
700,8726
701,10873
702,11098
703,65084
704,1075
705,4316
706,5927
707,65125
708,23085
709,196513
710,2288
711,55846
712,10867
713,4704
714,7450
715,928
716,55080
717,51258
718,9918
719,2597
720,4839
721,1108
722,171017
723,50813
724,8079
725,5763
726,920
727,8078
728,7167
729,2026
730,113246
731,5777
732,11331
733,10436
734,10162
735,716
736,715
737,51279
738,5830
739,9332
740,25977
741,8076
742,144568
743,4074
744,2120
745,54477
746,5139
747,79912
748,5965
749,51026
750,3945
751,55907
752,9847
753,55500
754,586
755,3845
756,79365
757,3709
758,26127
759,51768
760,9412
761,23012
762,8496
763,60488
764,55297
765,51290
766,10526
767,1663
768,636
769,121512
770,10059
771,51067
772,84920
773,144402
774,284252
775,7675
776,54850
777,59286
778,5300
779,50509
780,56342
781,8666
782,1786
783,51073
784,3383
785,125950
786,3385
787,7297
788,11140
789,9817
790,65095
791,10053
792,57153
793,3609
794,81890
795,1785
796,11018
797,10498
798,78992
799,6597
800,147841
801,25959
802,57572
803,9545
804,374882
805,5589
806,51295
807,1264
808,84337
809,54
810,4125
811,84292
812,1725
813,84261
814,30000
815,29911
816,3726
817,7001
818,10535
819,1777
820,2639
821,2193
822,811
823,5886
824,90480
825,4784
826,55621
827,112939
828,8677
829,84245
830,28974
831,54862
832,5989
833,342979
834,5566
835,90378
836,55723
837,10212
838,5585
839,10755
840,3337
841,9524
842,4713
843,4854
844,23476
845,10270
846,26993
847,58525
848,64926
849,114770
850,57834
851,7171
852,4218
853,26017
854,8907
855,58513
856,10523
857,79939
858,23309
859,93323
860,4650
861,55850
862,2063
863,29086
864,64981
865,79016
866,84705
867,83483
868,684
869,93343
870,376497
871,25796
872,79709
873,55201
874,6142
875,115098
876,5296
877,10437
878,3727
879,25804
880,54858
881,8178
882,51477
883,23770
884,55295
885,23373
886,1311
887,5976
888,11316
889,54555
890,9454
891,10147
892,93436
893,54929
894,8625
895,126382
896,57794
897,23383
898,54815
899,51079
900,7386
901,10775
902,79156
903,898
904,8725
905,147991
906,9141
907,84079
908,390916
909,85415
910,55094
911,5184
912,26065
913,2821
914,84306
915,10054
916,57655
917,51599
918,7392
919,10430
920,23354
921,79171
922,1340
923,9757
924,126393
925,7305
926,5438
927,1155
928,826
929,7705
930,23094
931,94274
932,10653
933,64073
934,90522
935,5714
936,11184
937,27335
938,81
939,3963
940,1891
941,3191
942,22933
943,4793
944,54938
945,6183
946,10298
947,9535
948,55095
949,54623
950,55588
951,6217
952,6829
953,92609
954,9149
955,2091
956,8857
957,5704
958,208
959,126526
960,23646
961,56265
962,64601
963,5786
964,64949
965,22888
966,60493
967,9762
968,81502
969,598
970,22974
971,81572
972,3055
973,9777
974,23509
975,9371
976,2139
977,23613
978,8202
979,55544
980,5105
981,6874
982,149986
983,5688
984,26039
985,26164
986,9885
987,11047
988,3911
989,6227
990,11054
991,11083
992,54994
993,54915
994,55738
995,1917
996,6725
997,85441
998,26205
999,10139
1000,80331
1001,24148
1002,10287
1003,7165
1004,54963
1005,84619
1006,57473
1007,24140
1008,10682
1009,5935
1010,64743
1011,7454
1012,10013
1013,10245
1014,10084
1015,7355
1016,56850
1017,11230
1018,11152
1019,27238
1020,5355
1021,28952
