Biomarker_AMP,Biomarker_AMP_HGNC,BiomarkerCluster,BiomarkerCluster_HGNC,TargetGene_AMP,TargetGene_AMP_HGNC,OncogeneAddiction,Beta,T-stat,P-value,EffectSize,CI_Lower,CI_Upper,n_Lines,MeanCNA,MeanEffect,PredictedEffect_CNA2,MeanEffect_CNA6plus,DeltaEffect_CNA6minusPred2,FDR,Pair,Biomarker_Unified,Biomarker_Unified_HGNC,TargetGene_Unified,TargetGene_Unified_HGNC,CNA_P_one,CNA_Q,CNA_EffectSize,CNA_Delta,Expr_P_one,Expr_EffectSize,Expr_Delta,Validated
55074,OXR1,55074,OXR1,102157402,AK6,FALSE,-0.1332503288,-4.3389962,1.43E-05,-0.3007639732,-0.1934407124,-0.0730599453,17,4.298351521,-1.059285764,-0.7530296677,-1.500929717,-0.7479000488,0.004945451695,55074_102157402,55074,OXR1,102157402,AK6,0.0001435494154,0.04752265743,-0.3116606099,-0.7454558908,0.0001817242114,-0.7567001118,-0.7003693225,TRUE
92140,MTDH,"26986, 50484, 51123, 79977, 92140","PABPC1, RRM2B, ZNF706, GRHL2, MTDH",102157402,AK6,FALSE,-0.1570410301,-4.68103811,2.85E-06,-0.3544627963,-0.2227945565,-0.09128750367,17,3.941176471,-1.059285764,-0.7544414112,-1.500929717,-0.7464883054,0.001396000249,92140_102157402,92140,MTDH,102157402,AK6,2.02E-06,0.001598812321,-0.3755842672,-0.7569422979,0.005321272785,-0.7673339109,-0.858210693,TRUE
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",2491,CENPI,FALSE,-0.06850088154,-5.124376163,2.99E-07,-0.2432464301,-0.09470099965,-0.04230076343,17,4.041842194,-0.7387755694,-0.5989075791,-1.044724179,-0.4458166001,0.0002233040163,10298_2491,10298,PAK4,2491,CENPI,2.18E-05,0.01124545527,-0.2336707775,-0.4021792699,0.002276873594,-0.7852113302,-0.3522579415,TRUE
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",7919,DDX39B,FALSE,-0.1609658144,-7.610072128,2.74E-14,-0.355844619,-0.2024223464,-0.1195092824,17,4.041842194,-0.7709075815,-0.4422407898,-1.440828024,-0.9985872337,1.25E-10,10298_7919,10298,PAK4,7919,DDX39B,3.87E-14,1.37E-10,-0.3401289533,-1.010705389,0.02195336285,-0.8249692831,-0.820922767,TRUE
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",503834,DPRX,FALSE,-0.04581102402,-4.962747444,6.95E-07,-0.2586796129,-0.063903413,-0.02771863504,17,4.041842194,-0.1172593059,-0.02372042413,-0.3762771346,-0.3525567104,0.0004350182778,10298_503834,10298,PAK4,503834,DPRX,2.81E-07,0.0003115345521,-0.2432069535,-0.3503056615,0.02118643301,-0.7116169746,-0.306452438,TRUE
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",54458,PRR13,FALSE,-0.0645960289,-4.297171805,1.73E-05,-0.2727266976,-0.09405863732,-0.03513342049,17,4.041842194,-0.6337313847,-0.5018364872,-0.8981078582,-0.396271371,0.00562651714,10298_54458,10298,PAK4,54458,PRR13,5.75E-07,0.0005600493445,-0.2871010825,-0.4380374069,0.02966372851,-0.7633171328,-0.363463268,TRUE
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",163131,ZNF780B,FALSE,-0.05592115315,-5.065483067,4.07E-07,-0.2556789214,-0.07755846685,-0.03428383946,17,4.041842194,-0.1265252934,-0.01234312333,-0.4607341614,-0.4483910381,0.0002850872958,10298_163131,10298,PAK4,163131,ZNF780B,2.56E-07,0.0002939203327,-0.2447538836,-0.4259002681,0.04427918168,-0.6480125661,-0.3675863033,TRUE
126526,PLD3,"126526, 23646","C19orf47, PLD3",333,APLP1,FALSE,-0.0318936861,-12.48930066,8.54E-36,-0.1421896145,-0.0368988083,-0.02688856389,17,4.84833942,-0.2010738172,-0.1102297739,-0.503550375,-0.3933206011,3.71E-31,23646_333,23646,PLD3,333,APLP1,1.59E-09,3.08E-06,-0.1381519361,-0.366515655,0.007964789691,-0.793127441,-0.3836734485,TRUE
126526,PLD3,"126526, 23646","C19orf47, PLD3",55142,HAUS2,FALSE,-0.02502884342,-4.286785374,1.81E-05,-0.1143268317,-0.03647229753,-0.01358538932,17,4.84833942,-0.702338216,-0.6310475746,-1.009781822,-0.3787342472,0.00581853328,23646_55142,23646,PLD3,55142,HAUS2,1.20E-06,0.001037967084,-0.115202085,-0.341098296,0.006631328353,-0.6839398828,-0.3567420243,TRUE
126526,PLD3,"126526, 23646","C19orf47, PLD3",3960,LGALS4,FALSE,-0.03918003723,-15.0268869,4.89E-51,-0.1470291789,-0.04429030807,-0.0340697664,17,4.84833942,-0.05342453013,0.05817351439,-0.4027854331,-0.4609589475,2.55E-45,23646_3960,23646,PLD3,3960,LGALS4,1.50E-86,5.79E-82,-0.1407266788,-0.4375946936,0.03826042907,-0.7441016317,-0.4480421154,TRUE
