Gene,Gene_HGNC,Sample,CNA,Protein
10013,HDAC6,TCGA-24-2298-01,-1,-0.2662
10013,HDAC6,TCGA-25-1312-01,0,-0.402
10013,HDAC6,TCGA-25-1313-01,0,0.0321
10013,HDAC6,TCGA-25-1318-01,1,0.1579
10013,HDAC6,TCGA-25-1322-01,-1,-0.0162
10013,HDAC6,TCGA-25-1323-01,0,0.234
10013,HDAC6,TCGA-25-1329-01,-1,0.0898
10013,HDAC6,TCGA-25-1623-01,0,-0.2473
10013,HDAC6,TCGA-25-1628-01,0,-0.1381
10013,HDAC6,TCGA-25-1631-01,-1,0.0321
10013,HDAC6,TCGA-25-2396-01,1,-0.009
10013,HDAC6,TCGA-25-2397-01,1,-0.1493
10013,HDAC6,TCGA-25-2399-01,0,-0.1846
10013,HDAC6,TCGA-25-2404-01,0,-0.0658
10013,HDAC6,TCGA-29-1688-01,-1,-0.0936
10013,HDAC6,TCGA-29-1690-01,0,-0.0662
10013,HDAC6,TCGA-29-1693-01,-1,0.0195
10013,HDAC6,TCGA-29-1696-01,-1,0.0351
10013,HDAC6,TCGA-29-1697-01,-1,0.2386
10013,HDAC6,TCGA-29-1698-01,0,-0.1188
10013,HDAC6,TCGA-29-1702-01,-1,0.0691
10013,HDAC6,TCGA-29-1705-01,-1,-0.0006
10013,HDAC6,TCGA-29-1710-01,-1,-0.051
10013,HDAC6,TCGA-29-1711-01,-1,0.1805
10013,HDAC6,TCGA-29-1762-01,-1,-0.267
10013,HDAC6,TCGA-29-1763-01,2,0.5403
10013,HDAC6,TCGA-29-1766-01,1,-0.0954
10013,HDAC6,TCGA-29-1768-01,1,-0.0752
10013,HDAC6,TCGA-29-1769-01,-1,0.1532
10013,HDAC6,TCGA-29-1770-01,0,0.2506
10013,HDAC6,TCGA-29-1771-01,-1,0.0463
10013,HDAC6,TCGA-29-1785-01,0,-0.0609
10013,HDAC6,TCGA-29-2427-01,-1,0.0102
10013,HDAC6,TCGA-29-2431-01,-1,-0.1936
10013,HDAC6,TCGA-30-1887-01,0,-0.0204
