Gene,T-statistic (Amplification vs Neutral),P-value (Amplification vs Neutral),Cohen's d (Amplification vs Neutral),T-statistic (Deletion vs Neutral),P-value (Deletion vs Neutral),Cohen's d (Deletion vs Neutral)
10000,1.333524361191163,0.2852760988748709,0.8009288170811426,,,
10013,1.7875611456659215,0.1449776493398215,1.6200098285675195,,,
10016,5.556051994244823,0.0002037474277466,2.1444199424732244,,,
1004,1.3146836034544451,0.2463271872219943,0.5672855483108501,,,
10048,2.4992471387377813,0.0284566484531281,1.0505571335641666,,,
10049,3.386940452292764,0.0045747085320748,1.3391048464006334,,,
10051,2.8891757402449163,0.0077779397293108,0.95732893638675,,,
10053,-0.1378754866072135,0.8938528206856976,-0.0538474172349142,,,
10054,3.4835663363744707,0.0083031461233693,1.8591488743176852,,,
10059,3.1604913217285557,0.0457727331280043,2.1661244689047603,,,
10061,5.768713669850949,5.024209825869541e-05,2.3999651649880813,,,
10067,2.3393323513347424,0.0644411879614531,1.972939063231463,,,
10084,1.215187344508622,0.2808193863354862,0.7311104984930539,,,
10139,2.657407580601129,0.0358075642697448,1.3581575980102891,,,
10147,2.549704805567456,0.0509488840708799,1.2458127232062712,,,
10162,3.076306295098642,0.0181524197965466,1.686217349766644,,,
10174,,,,-2.0802398140038245,0.0575305065868101,-0.8990886328935479
10195,3.303408874866839,0.0020909590707954,1.042779802883434,,,
1020,4.991947908854222,0.0002833195122727,2.4013774878208998,,,
10212,2.954014682579236,0.0086017391781744,0.9567679764067766,,,
10245,1.2790123416682586,0.2575959865689479,0.7216747744162874,,,
10262,0.7593939195763313,0.4711338242427842,0.3409038021142453,,,
10269,5.80791014368351,3.752473007509447e-05,2.572530999067828,,,
10270,4.380701079474118,0.0003735236810612,1.5061758917618162,,,
10274,0.298409458897438,0.7707786535273636,0.1107799946340277,,,
10287,1.0301976105884494,0.3694130379104279,0.6709744568085142,,,
10298,5.621561923312649,0.0002763839320669,2.8503754513499104,,,
10327,2.779612614071689,0.0263755444278164,1.2569964268656255,,,
10395,,,,1.5022391515225728,0.1756776054679174,0.7307397538998996
10397,4.022353848227549,0.0001855656694619,0.9488206236487772,,,
10404,2.124988469381578,0.0531250743454411,0.8306410998096787,,,
10409,2.0356658646685664,0.0747459290129546,0.705519308944605,,,
10430,0.5304094937910738,0.6197800098214561,0.3092545135544648,,,
10434,3.863144620737852,0.0168163448265908,3.451805932195865,,,
10436,1.5946374150395048,0.151660623001211,0.732799844078927,,,
10450,4.397875065580777,0.0004507101053497,1.858348221746541,,,
10455,3.2430761848474763,0.0040011192065097,0.970923352934763,,,
10465,4.472585315775711,0.0011801233716209,2.338845670885892,,,
10487,4.56426645895047,0.0002621783080031,1.7414315697495932,,,
10489,2.6516941343883,0.0235919619009264,1.034769116501853,,,
10498,2.13469043492161,0.0669903222373947,1.344855416412456,,,
10499,4.087161127939811,0.0056593821557044,1.4795505957255697,,,
10523,2.960771703789164,0.0124602868576844,1.132722671664467,,,
10526,3.6261069584946144,0.0090510657721219,1.3935829110429994,,,
10535,2.311980422494823,0.0403558060722994,0.8414528698213486,,,
10565,4.666808132792164,0.0042410232362607,2.898320480820338,,,
10591,2.7231671105425623,0.0453319590407039,1.3451155970139088,,,
10623,1.5299642187075764,0.167553167973715,0.6675514902693664,,,
10628,-0.2891670371692749,0.7787613025585481,-0.1135865205217605,,,
10644,1.2990359207468107,0.2048878597773234,0.416683399591058,,,
10653,4.4202315635141725,0.0011716972689428,2.2117530070583657,,,
10654,3.052008518626605,0.0252311654836031,1.1818853362963062,,,
10656,2.4902659911797285,0.0165990887682469,0.6508212971497734,,,
10667,4.638217010333244,0.0001707804530064,1.3415254255434732,,,
10671,,,,-2.27263612158483,0.0473504663678154,-0.999758654963954
10682,3.2501756757190075,0.0251125614513737,1.8062778448252077,,,
10714,2.151062214667516,0.0713300588460574,1.291877153535194,,,
10723,2.737448362956573,0.0236085679413005,1.5739458266620847,,,
1075,0.6179169028974726,0.5844052214255948,0.2245934097459546,,,
10755,2.6248084891706487,0.0232774040624672,1.1748477554760912,,,
10762,,,,-2.280401969042126,0.0528092013707729,-1.2857711350802108
10775,0.498967852845487,0.6219514983607661,0.1424687644920003,,,
10799,0.8255816369974794,0.4203834895713602,0.2728723210435434,,,
10809,1.7728243798771215,0.1116431211223842,1.0720702297271305,,,
10863,,,,-1.8169868646836076,0.0951270588665723,-0.8891689191334726
10867,1.727881323447516,0.1186542780887559,0.8106828693706066,,,
10873,0.7572184940582826,0.4740515200186944,0.284473596998789,,,
10923,3.2974611144436627,0.0150933243083397,2.2768544520784544,,,
10946,1.134481518946288,0.2739604007113009,0.4303612339858566,,,
10969,-1.2215756895902383,0.246980262770088,-0.3878272722477318,,,
11000,2.587943623048305,0.0197046832359931,0.717972496611083,,,
11018,2.4605955249141944,0.0450777376033031,1.1216736327035357,,,
11022,0.7444264572050271,0.488419186038957,0.572453053709752,,,
11030,,,,-5.690463156462118,1.525405790830237e-05,-1.5820905115989052
11047,3.476414219937105,0.0031487505119757,1.1918497191752366,,,
11054,5.52566150732213,7.03485337856246e-05,1.9247701672200848,,,
11076,0.1506538966745481,0.8829344944993119,0.055665508536089,,,
1108,-1.3724174072609294,0.1938120030922789,-0.4322215829474602,,,
11083,1.713728929125795,0.1251582784106286,0.9844530744891232,,,
11098,0.3062297425044465,0.7680154354721894,0.0910780954797758,,,
11128,-0.0499760676703819,0.9608843699052154,-0.0160586389519417,,,
11140,4.166709497215859,0.0011685065606628,1.554480800822368,,,
11152,1.854324773538113,0.1447009993812439,1.3117318881539757,,,
11156,1.637164120893328,0.1088075217738035,0.4545906338088671,,,
11184,1.180375037022147,0.2859925074561918,0.4990582634911,,,
11194,4.259474017955074,0.000290806795858,1.2200065995838532,,,
1120,,,,-2.20136038983293,0.0426547995878866,-0.9358705512572356
11230,1.3865914129932526,0.2165389723874379,0.6278156785353772,,,
11235,1.5542281664258564,0.1273654505154008,0.4549405851575736,,,
11236,0.1395034333367472,0.8905363298986889,0.0491089840905551,,,
11244,2.7096296789312446,0.0110554468869524,0.7676783660611199,,,
112939,2.785055788309254,0.014797567183208,1.1252550798489338,,,
112950,-0.8390783694985772,0.4247186288288379,-0.3986695669272576,,,
11311,1.665933166668175,0.1423928054042508,1.0282361371561275,,,
11316,0.5265442172905251,0.6381799604801448,0.2239875486891279,,,
113246,4.210697433252792,0.0002543017937766,0.9533539094833212,,,
11331,1.2578456466011596,0.2414406590669484,0.5889597250415517,,,
11336,1.3430507231284323,0.1969111057556419,0.3445447616132331,,,
113655,5.74246902648227,7.69204867938749e-06,2.1013488045832527,,,
114770,-0.3666403612478324,0.7185031472620123,-0.1222363916466536,,,
114899,1.4124163939262628,0.1952497547450555,0.5719629133553014,,,
115098,4.756965270120085,0.0301890813726337,2.73392502979459,,,
1155,4.904446214660161,0.0012951618935787,2.880816909521875,,,
115908,1.914113421874712,0.0665732086303162,0.6253870010282397,,,
116113,1.047535503305065,0.3487865010950716,0.6673684311308161,,,
116228,3.2824376934946424,0.0057810234074134,0.9533040967907096,,,
1163,1.3696739680132417,0.2286766822692157,0.625692263132707,,,
116985,3.373317062046929,0.0065266222969726,1.5152617552484515,,,
116988,4.451534934540433,0.0005600225366915,1.8630105783904916,,,
117145,1.840617773123012,0.1162734128763175,0.9791809325889383,,,
1173,-0.5689360525527046,0.5725818118229892,-0.1679533922883831,,,
1191,,,,-0.3713038341808067,0.7160305319244806,-0.1337344347681055
1196,3.29959467589739,0.0190978194283094,1.4917577404453817,,,
1207,1.9397562060611748,0.0830754963299409,0.9084078981909196,,,
121512,2.181608921433617,0.1104402407127214,1.4851922441257803,,,
125950,3.2466771576405016,0.006929780713618,1.3827327706014885,,,
126382,6.423238660246026,2.065968030925292e-05,1.516283952438955,,,
126393,1.6273519751798715,0.1337204897770126,0.6096096484555666,,,
1264,1.2088241919589926,0.262109657809748,0.5625226647824546,,,
126526,3.50453696834488,0.0147371147065205,2.5016698840254388,,,
127687,2.4220105447379754,0.0324215597026716,0.9845345101487076,,,
127700,2.406367877994439,0.0359597411638571,1.0148387015780402,,,
128308,-0.8045470503038286,0.4613987546108726,-0.469739294823705,,,
1296,-1.0644185516284976,0.2956669369774524,-0.2815640008644268,,,
129685,0.8777292601079376,0.4423528495617195,0.9334677785091668,,,
1311,3.1189796655739035,0.0036576514786223,0.551660365457492,,,
131118,0.1973609211781441,0.8444707756764984,0.0583757978496615,,,
131578,-1.0571656979121689,0.2986110781703442,-0.3678229951951097,,,
133686,2.8906483845619344,0.0261936393778488,2.120196093491265,,,
133957,4.440193368425594,0.0003936111298166,1.165059944597088,,,
1340,0.1517467915885312,0.8817073070604899,0.0506133451718151,,,
134147,0.1781668819949402,0.8621433216521324,0.0721996486474302,,,
134218,2.481113805853524,0.0483007726234,1.289737458621311,,,
1345,-0.1139745392657161,0.909902965039994,-0.0311964175327925,,,
1356,-1.887951372635044,0.0693586362623565,-0.5379373276984811,,,
137492,,,,-3.8931012811261625,0.001354500876057,-1.3693217076944255
137682,3.5241693073351774,0.0026809718269638,1.2270701644209938,,,
137695,2.25735209527372,0.070408428668845,1.7014514505190506,,,
140576,1.9923462658171351,0.0666525068363844,0.7492862775656989,,,
142,3.2496606567774053,0.0233948271462492,1.481641113875777,,,
144568,3.880326282253867,0.0077378126219771,1.179194020867502,,,
147841,1.8259415653855695,0.1241618605937778,0.9380255432650988,,,
147991,-0.73159856552052,0.4794103441956505,-0.3077034564801226,,,
149371,2.6209214421268725,0.0134594204960393,0.4781674976012395,,,
149466,2.6914359869370044,0.0578342202519161,1.5655541123492147,,,
149986,3.346623150185411,0.0074796833727798,1.60354414795553,,,
1503,5.945819957627696,3.5039722427975177e-06,1.8389956959457296,,,
1508,,,,-3.417244328502601,0.0087468023166656,-1.4564049677497493
1513,-0.1635407694434484,0.8742624877301033,-0.0604486455692756,,,
151742,-0.0792874898185304,0.9375778991223676,-0.0313179022409359,,,
151963,1.2790394640932772,0.209339084250921,0.4091407227870862,,,
1520,0.6638194168607994,0.5234865736974283,0.2791597925441127,,,
152002,0.4445552403370386,0.6588616814713302,0.1280223143511426,-0.3607425473542921,0.7479008347063534,-0.2476347105807711
152137,4.329611922038671,9.400334727642471e-05,1.275110434198728,,,
1537,2.9076718985986463,0.005350936521826,0.7291870676570428,,,
154007,2.528401910070678,0.0293068600277738,1.0125069996216411,,,
154141,1.980531771666847,0.0689803128432533,0.796947267072313,,,
154467,0.6468919511096433,0.5636201785438133,0.3246134611078343,,,
155038,-0.1249826480236558,0.9011842529553836,-0.0303261636683593,,,
155435,1.3837677673136113,0.1844764004803653,0.4440722591525879,,,
157378,4.9518263733024686,6.49848245074027e-06,1.1305791885358454,,,
157769,5.526010163930522,1.082700994820391e-06,1.3877160535836477,,,
157869,-1.367843998550826,0.2953772050915252,-1.0761854902063244,,,
1584,-0.7524924261498868,0.4578545495557524,-0.2386013252966745,,,
1585,-0.9795469609319412,0.334734361702779,-0.2998988599012021,,,
1601,0.4448554504384263,0.6760027409325302,0.2047857575436973,,,
163882,4.534579352088676,0.0100285845893326,1.5378473775829384,,,
1667,,,,0.1047846161574278,0.91784976135741,0.0315744610687971
1671,,,,0.334191805816252,0.7407907839311143,0.0796352515122467
168537,0.1037738113385461,0.9191103628008018,0.0448724598725071,,,
170506,8.82433052122676,1.6293229574321657e-07,3.309960420745061,,,
170575,-0.2686234558349487,0.790210175167527,-0.0718473825906369,,,
170690,0.8525432519749564,0.4080319091095288,0.31709611225177,,,
171017,3.273900281747728,0.0087432761434057,1.3035970628571998,,,
1725,3.101015663155083,0.010759146334068,1.3949478777167268,,,
1756,-0.489604531671846,0.6643594578012858,-0.3229976957736236,-2.777316385666586,0.0101698204188508,-0.9594761462544364
1777,3.232537441838693,0.009307770478994,1.573896317680586,,,
1785,1.8213704228012215,0.1150391455550945,1.2727598748291529,,,
1786,2.7230177365045987,0.0191535558062126,1.2081973928897338,,,
1802,1.7281019249887366,0.1288036720266748,0.5071649935259146,,,
1808,,,,-2.4694772584036624,0.0203940621497893,-0.7649584289003531
1832,1.262272675912966,0.2301824170039813,0.5541403682315713,,,
1857,2.857645714553552,0.0066146994009884,0.857773296533983,,,
1871,2.563861420259962,0.0258153315277898,1.1183819804057475,,,
1890,,,,0.3512046381269399,0.730000366595313,0.1464490494236255
1891,1.5700968326591718,0.1496468843619031,1.0041011873358674,,,
1893,-1.23655326440559,0.2315577030413322,-0.2800769258764915,,,
1894,4.237514712114067,0.000109443277806,1.2101574457756703,,,
1917,0.1015406564154184,0.9209263729387922,0.0405104120720464,,,
