Gene
A1BG
A2M
A2ML1
AACS
AAGAB
AAK1
AAMDC
AAR2
AARS
AARS2
AARSD1
AASDHPPT
AASS
AATF
ABAT
ABCA2
ABCB10
ABCB6
ABCB7
ABCB8
ABCC1
ABCC10
ABCC3
ABCC4
ABCD1
ABCD3
ABCE1
ABCF1
ABCF2
ABCF3
ABHD10
ABHD11
ABHD12
ABHD14B
ABHD16A
ABHD17B
ABHD4
ABI1
ABI2
ABI3
ABI3BP
ABL1
ABLIM1
ABR
ABRACL
ABT1
ACACA
ACAD10
ACAD11
ACAD8
ACAD9
ACADM
ACADS
ACADSB
ACADVL
ACAP1
ACAP2
ACAT1
ACAT2
ACBD3
ACBD5
ACBD6
ACBD7
ACE
ACIN1
ACLY
ACN9
ACO1
ACO2
ACOT11
ACOT13
ACOT7
ACOT8
ACOT9
ACOX1
ACOX2
ACOX3
ACP1
ACP2
ACP5
ACP6
ACPP
ACSF2
ACSF3
ACSL1
ACSL5
ACSM3
ACSS1
ACSS2
ACTA1
ACTB
ACTBL2
ACTG1
ACTG2
ACTL6A
ACTL8
ACTN1
ACTN4
ACTR1B
ACTR2
ACTR3
ACTR3B
ACTR5
ACVR1
ACY1
ACYP1
ACYP2
ADA
ADAM15
ADAM17
ADAM28
ADAM9
ADAMTS16
ADAMTSL1
ADAP1
ADAP2
ADAR
ADARB1
ADCK1
ADCK3
ADCK4
ADCK5
ADD1
ADD2
ADI1
ADK
ADNP
ADO
ADPGK
ADPRH
ADPRHL2
ADRBK1
ADRM1
ADSS
ADSSL1
AES
AFAP1
AFAP1L2
AFF4
AFG3L2
AFM
AFTPH
AGA
AGAP1
AGAP3
AGFG2
AGK
AGL
AGO1
AGO2
AGO3
AGPAT1
AGPAT2
AGPAT3
AGPAT4
AGPAT5
AGPAT6
AGPS
AGR2
AGR3
AGRN
AGT
AGTRAP
AHCTF1
AHCY
AHCYL1
AHCYL2
AHDC1
AHNAK
AHNAK2
AHR
AHSA1
AHSG
AIDA
AIF1
AIF1L
AIM1
AIMP2
AIP
AK1
AK2
AK3
AK4
AKAP1
AKAP10
AKAP11
AKAP12
AKAP13
AKAP17A
AKAP8
AKAP8L
AKAP9
AKR1A1
AKR1B1
AKR1C2
AKR1C3
AKR7A2
AKT1
AKT2
AKT3
ALB
ALCAM
ALDH1A1
ALDH1A3
ALDH1B1
ALDH1L1
ALDH1L2
ALDH2
ALDH3A2
ALDH3B1
ALDH4A1
ALDH5A1
ALDH6A1
ALDH7A1
ALDH9A1
ALDOA
ALDOC
ALG1
ALG10
ALG11
ALG12
ALG3
ALG6
ALG8
ALG9
ALKBH2
ALKBH4
ALKBH5
ALPL
ALS2
ALYREF
AMDHD2
AMPD2
AMPH
AMY1A
ANAPC10
ANAPC2
ANAPC5
ANAPC7
ANG
ANGEL2
ANGPTL2
ANK1
ANK2
ANK3
ANKHD1
ANKIB1
ANKLE2
ANKMY2
ANKRD13A
ANKRD17
ANKRD26
ANKRD27
ANKRD28
ANKRD44
ANKRD49
ANKRD52
ANKRD54
ANKRD6
ANKS1A
ANKZF1
ANLN
ANO1
ANO6
ANP32A
ANP32E
ANPEP
ANTXR1
ANTXR2
ANXA1
ANXA11
ANXA2
ANXA3
ANXA4
ANXA6
ANXA7
ANXA9
AOC1
AOC3
AOX1
AP1B1
AP1G1
AP1G2
AP1M1
AP1M2
AP1S1
AP1S2
AP2A2
AP2B1
AP2M1
AP2S1
AP3B1
AP3D1
AP3M1
AP3M2
AP3S1
AP4B1
AP4S1
AP5B1
AP5Z1
APAF1
APBB1IP
APBB2
APC
APCS
APEH
APEX1
APH1A
APIP
APLP2
APMAP
APOA1
APOA1BP
APOA2
APOA4
APOB
APOBEC3B
APOBEC3C
APOBEC3F
APOBEC3G
APOC1
APOC2
APOC3
APOD
APOE
APOF
APOH
APOL1
APOL2
APOL3
APOM
APOO
APOOL
APPL1
APPL2
APRT
APTX
AQR
ARAF
ARAP1
ARCN1
ARF4
ARF5
ARF6
ARFGAP1
ARFGAP2
ARFGAP3
ARFGEF1
ARFGEF2
ARFIP1
ARFRP1
ARGLU1
ARHGAP1
ARHGAP10
ARHGAP12
ARHGAP17
ARHGAP18
ARHGAP21
ARHGAP25
ARHGAP26
ARHGAP27
ARHGAP29
ARHGAP30
ARHGAP32
ARHGAP4
ARHGAP5
ARHGAP6
ARHGAP8
ARHGAP9
ARHGDIA
ARHGDIB
ARHGEF1
ARHGEF10
ARHGEF10L
ARHGEF11
ARHGEF12
ARHGEF16
ARHGEF17
ARHGEF18
ARHGEF2
ARHGEF28
ARHGEF37
ARHGEF40
ARHGEF5
ARHGEF6
ARHGEF7
ARID1A
ARID1B
ARID2
ARID3A
ARID4B
ARID5B
ARIH1
ARL1
ARL14EP
ARL15
ARL2
ARL2BP
ARL4C
ARL5A
ARL5B
ARL6
ARL6IP1
ARL6IP4
ARL6IP5
ARL8A
ARL8B
ARMC1
ARMC10
ARMC6
ARMC8
ARNT
ARPC1A
ARPC1B
ARPC3
ARPC4
ARPC5
ARPC5L
ARPP19
ARRB1
ARRDC1
ARSA
ARSB
ARSD
ARVCF
ASAH1
ASAP1
ASAP2
ASAP3
ASB9
ASCC1
ASCC2
ASCC3
ASF1A
ASF1B
ASH1L
ASH2L
ASL
ASMTL
ASNA1
ASNS
ASPH
ASPM
ASPSCR1
ASRGL1
ASS1
ASUN
ATAD1
ATAD2
ATAD2B
ATAD3A
ATAD3B
ATAT1
ATE1
ATF2
ATF7IP
ATG101
ATG12
ATG13
ATG2A
ATG2B
ATG3
ATG4B
ATG4C
ATG5
ATG7
ATG9A
ATHL1
ATL1
ATL2
ATL3
ATM
ATOX1
ATP11A
ATP11B
ATP11C
ATP13A1
ATP13A3
ATP1A1
ATP1B1
ATP1B3
ATP2A2
ATP2A3
ATP2B1
ATP2B2
ATP2B4
ATP2C1
ATP5A1
ATP5B
ATP5C1
ATP5D
ATP5E
ATP5F1
ATP5H
ATP5I
ATP5J2-PTCD1
ATP5L
ATP5O
ATP5S
ATP6AP1
ATP6V0A1
ATP6V0A2
ATP6V0C
ATP6V0D1
ATP6V1A
ATP6V1B1
ATP6V1B2
ATP6V1C1
ATP6V1E1
ATP6V1F
ATP6V1H
ATP8B1
ATP9A
ATP9B
ATPAF1
ATPAF2
ATPIF1
ATR
ATRN
ATXN10
ATXN2
ATXN3
AUP1
AVEN
AZGP1
AZU1
B2M
B3GALNT1
B3GALT6
B3GAT3
B3GNT2
B4GALT1
BABAM1
BACH1
BAG1
BAG2
BAG3
BAG4
BAG5
BAG6
BAIAP2
BAIAP2L1
BANF1
BAP1
BASP1
BAZ1B
BAZ2A
BBOX1
BBS1
BBX
BCAM
BCAP29
BCAP31
BCAR1
BCAR3
BCAS2
BCAS3
BCAT1
BCCIP
BCHE
BCKDHA
BCKDHB
BCL10
BCL2L1
BCL2L13
BCL2L2
BCL7A
BCL7B
BCL9
BCL9L
BCLAF1
BCOR
BCR
BCS1L
BDH1
BECN1
BEND3
BET1
BET1L
BGN
BHLHE41
BICD1
BID
BIN2
BIN3
BIRC2
BIRC6
BIVM-ERCC5
BLOC1S1
BLOC1S3
BLOC1S4
BLOC1S5
BLOC1S6
BLVRB
BMP2K
BMPR2
BNIP1
BNIP3
BNIP3L
BOD1
BOD1L1
BOLA1
BOLA2
BOLA3
BOP1
BPGM
BPHL
BPI
BPNT1
BPTF
BRAF
BRAP
BRAT1
BRCA2
BRCC3
BRD1
BRD2
BRD4
BRD8
BRD9
BRE
BRF1
BRI3BP
BRIX1
BRK1
BRMS1L
BROX
BRPF1
BSDC1
BSG
BST1
BST2
BTBD1
BTBD9
BTD
BTF3
BTF3L4
BTN2A1
BTN3A3
BUB1B
BUB3
BUD13
BUD31
BYSL
BZW1
BZW2
C10orf118
C10orf54
C11orf30
C11orf54
C11orf68
C11orf73
C11orf84
C11orf96
C12orf4
C12orf40
C12orf43
C12orf5
C12orf57
C14orf1
C14orf142
C14orf159
C14orf2
C15orf38
C15orf40
C15orf48
C15orf52
C15orf57
C16orf13
C16orf62
C16orf70
C17orf49
C17orf59
C17orf62
C17orf75
C17orf85
C17orf97
C18orf21
C18orf25
C18orf32
C18orf8
C19orf10
C19orf33
C19orf43
C19orf47
C19orf52
C19orf53
C19orf66
C19orf70
C1D
C1GALT1C1
C1QA
C1QB
C1QC
C1QTNF3
C1R
C1RL
C1S
C1orf116
C1orf122
C1orf123
C1orf131
C1orf174
C1orf198
C1orf210
C1orf226
C1orf27
C1orf35
C1orf50
C1orf85
C2
C20orf27
C21orf33
C2CD2
C2CD2L
C2CD5
C2orf43
C2orf47
C2orf69
C2orf88
C3orf17
C3orf38
C3orf58
C4B
C4BPA
C4BPB
C4orf27
C5orf22
C5orf51
C6
C6orf132
C6orf203
C6orf211
C6orf47
C7
C7orf26
C7orf50
C7orf55-LUC7L2
C7orf73
C8A
C8B
C8G
C8orf33
C8orf59
C8orf82
C9
C9orf117
C9orf142
C9orf41
C9orf72
CA1
CA13
CA2
CA3
CA5B
CA8
CAAP1
CAB39L
CABIN1
CABLES1
CACHD1
CACNA2D1
CACTIN
CACUL1
CACYBP
CAD
CADM1
CADM4
CADPS2
CALB2
CALCOCO2
CALD1
CALM2
CALML5
CALR
CALU
CAMK1
CAMK1D
CAMK2D
CAMK2G
CAMKK2
CAMP
CAMSAP1
CAMSAP2
CAMSAP3
CAND1
CAND2
CANT1
CANX
CAP1
CAP2
CAPG
CAPN1
CAPN2
CAPN5
CAPN7
CAPNS1
CAPRIN1
CAPZA1
CAPZA2
CAPZB
CARD16
CARD6
CARD8
CARD9
CARHSP1
CARKD
CARM1
CARS2
CASC3
CASC4
CASKIN2
CASP1
CASP10
CASP2
CASP3
CASP4
CASP7
CASP8
CASP9
CAST
CASZ1
CAT
CAV1
CAV2
CBFB
CBL
CBLB
CBLL1
CBR1
CBR3
CBR4
CBS
CBWD2
CBX1
CBX3
CBX5
CBX8
CC2D1A
CC2D1B
CCAR2
CCBL2
CCDC104
CCDC109B
CCDC112
CCDC124
CCDC127
CCDC132
CCDC134
CCDC137
CCDC150
CCDC167
CCDC22
CCDC25
CCDC28A
CCDC43
CCDC47
CCDC50
CCDC51
CCDC53
CCDC58
CCDC6
CCDC61
CCDC80
CCDC85C
CCDC88A
