Unnamed: 0,Gene,Gene_HGNC,Sample,CNA,Protein
105,10013,HDAC6,TCGA-24-1927-01,0,-0.1877
106,10013,HDAC6,TCGA-24-2024-01,-1,0.1799
107,10013,HDAC6,TCGA-24-2030-01,2,0.8619
108,10013,HDAC6,TCGA-24-2033-01,-1,-0.3509
109,10013,HDAC6,TCGA-24-2261-01,1,0.0695
110,10013,HDAC6,TCGA-24-2289-01,1,-0.2642
111,10013,HDAC6,TCGA-24-2290-01,2,-0.1288
112,10013,HDAC6,TCGA-24-2298-01,-1,-0.2662
113,10013,HDAC6,TCGA-25-1312-01,0,-0.402
114,10013,HDAC6,TCGA-25-1313-01,0,0.0321
115,10013,HDAC6,TCGA-25-1318-01,1,0.1579
116,10013,HDAC6,TCGA-25-1322-01,-1,-0.0162
117,10013,HDAC6,TCGA-25-1323-01,0,0.234
118,10013,HDAC6,TCGA-25-1329-01,-1,0.0898
119,10013,HDAC6,TCGA-25-1623-01,0,-0.2473
120,10013,HDAC6,TCGA-25-1628-01,0,-0.1381
121,10013,HDAC6,TCGA-25-1631-01,-1,0.0321
122,10013,HDAC6,TCGA-25-2396-01,1,-0.009
123,10013,HDAC6,TCGA-25-2397-01,1,-0.1493
124,10013,HDAC6,TCGA-25-2399-01,0,-0.1846
125,10013,HDAC6,TCGA-25-2404-01,0,-0.0658
126,10013,HDAC6,TCGA-29-1688-01,-1,-0.0936
127,10013,HDAC6,TCGA-29-1690-01,0,-0.0662
128,10013,HDAC6,TCGA-29-1693-01,-1,0.0195
129,10013,HDAC6,TCGA-29-1696-01,-1,0.0351
130,10013,HDAC6,TCGA-29-1697-01,-1,0.2386
131,10013,HDAC6,TCGA-29-1698-01,0,-0.1188
132,10013,HDAC6,TCGA-29-1702-01,-1,0.0691
133,10013,HDAC6,TCGA-29-1705-01,-1,-0.0006
134,10013,HDAC6,TCGA-29-1710-01,-1,-0.051
135,10013,HDAC6,TCGA-29-1711-01,-1,0.1805
136,10013,HDAC6,TCGA-29-1762-01,-1,-0.267
137,10013,HDAC6,TCGA-29-1763-01,2,0.5403
138,10013,HDAC6,TCGA-29-1766-01,1,-0.0954
139,10013,HDAC6,TCGA-29-1768-01,1,-0.0752
140,10013,HDAC6,TCGA-29-1769-01,-1,0.1532
141,10013,HDAC6,TCGA-29-1770-01,0,0.2506
142,10013,HDAC6,TCGA-29-1771-01,-1,0.0463
143,10013,HDAC6,TCGA-29-1785-01,0,-0.0609
144,10013,HDAC6,TCGA-29-2427-01,-1,0.0102
145,10013,HDAC6,TCGA-29-2431-01,-1,-0.1936
146,10013,HDAC6,TCGA-30-1887-01,0,-0.0204
147,10013,HDAC6,TCGA-30-1891-01,-1,0.0533
148,10013,HDAC6,TCGA-36-1569-01,-1,-0.2834
149,10013,HDAC6,TCGA-36-1570-01,-1,0.013
150,10013,HDAC6,TCGA-36-1571-01,0,-0.0213
151,10013,HDAC6,TCGA-36-1577-01,-1,-0.0389
152,10013,HDAC6,TCGA-36-1578-01,1,0.2243
153,10013,HDAC6,TCGA-36-1580-01,-1,-0.2848
154,10013,HDAC6,TCGA-36-2530-01,-1,-0.019
155,10013,HDAC6,TCGA-36-2532-01,-1,-0.0887
156,10013,HDAC6,TCGA-36-2534-01,-1,-0.026
157,10013,HDAC6,TCGA-36-2537-01,-1,0.2785
158,10013,HDAC6,TCGA-36-2542-01,-1,-0.1908
159,10013,HDAC6,TCGA-36-2544-01,-1,-0.1134
160,10013,HDAC6,TCGA-36-2545-01,-1,-0.2146
161,10013,HDAC6,TCGA-36-2547-01,1,0.1912
162,10013,HDAC6,TCGA-36-2549-01,-1,-0.1781
163,10013,HDAC6,TCGA-59-2348-01,1,0.0228
164,10013,HDAC6,TCGA-59-2351-01,0,0.1469
165,10013,HDAC6,TCGA-59-2352-01,1,-0.0338
166,10013,HDAC6,TCGA-59-2372-01,1,0.1769
167,10013,HDAC6,TCGA-61-1724-01,0,-0.0872
168,10013,HDAC6,TCGA-61-1727-01,-1,0.0187
169,10013,HDAC6,TCGA-61-1741-01,-1,-0.0799
170,10013,HDAC6,TCGA-61-1907-01,0,-0.2094
171,10013,HDAC6,TCGA-61-1910-01,0,0.1323
172,10013,HDAC6,TCGA-61-1911-01,1,0.0363
173,10013,HDAC6,TCGA-61-1914-01,0,-0.4064
174,10013,HDAC6,TCGA-61-1915-01,-1,-0.0048
175,10013,HDAC6,TCGA-61-1918-01,-1,-0.2063
176,10013,HDAC6,TCGA-61-1995-01,2,-0.1638
177,10013,HDAC6,TCGA-61-2008-01,-1,0.0489
178,10013,HDAC6,TCGA-61-2087-01,-1,0.1053
179,10013,HDAC6,TCGA-61-2088-01,-1,-0.2893
180,10013,HDAC6,TCGA-61-2094-01,0,-0.0928
181,10013,HDAC6,TCGA-61-2613-01,0,0.1227
182,10016,PDCD6,TCGA-09-1664-01,0,0.0729
183,10016,PDCD6,TCGA-13-1404-01,1,0.3889
184,10016,PDCD6,TCGA-13-1409-01,1,0.3007
185,10016,PDCD6,TCGA-13-1410-01,0,-0.3862
186,10016,PDCD6,TCGA-13-1482-01,0,-0.1617
187,10016,PDCD6,TCGA-13-1483-01,0,0.0071
188,10016,PDCD6,TCGA-13-1485-01,0,-0.359
189,10016,PDCD6,TCGA-13-1487-01,0,-0.2366
190,10016,PDCD6,TCGA-13-1488-01,1,-0.0799
191,10016,PDCD6,TCGA-13-1489-01,1,-0.0788
192,10016,PDCD6,TCGA-13-1492-01,1,0.4075
193,10016,PDCD6,TCGA-13-1494-01,0,-0.1115
194,10016,PDCD6,TCGA-13-1497-01,1,-0.5816
195,10016,PDCD6,TCGA-13-1500-01,0,-0.2726
196,10016,PDCD6,TCGA-13-1501-01,1,0.1352
197,10016,PDCD6,TCGA-13-1504-01,1,0.0845
198,10016,PDCD6,TCGA-13-1507-01,1,-0.0265
199,10016,PDCD6,TCGA-13-1511-01,0,0.0894
200,10016,PDCD6,TCGA-13-2059-01,-1,-0.3193
201,10016,PDCD6,TCGA-13-2060-01,1,0.211
202,10016,PDCD6,TCGA-13-2061-01,1,-0.1755
203,10016,PDCD6,TCGA-13-2065-01,2,0.3358
204,10016,PDCD6,TCGA-23-1121-01,2,0.0702
205,10016,PDCD6,TCGA-23-1122-01,1,0.1502
206,10016,PDCD6,TCGA-24-1103-01,2,0.59
207,10016,PDCD6,TCGA-24-1416-01,0,0.1922
208,10016,PDCD6,TCGA-24-1422-01,0,-0.075
209,10016,PDCD6,TCGA-24-1430-01,0,-0.0244
210,10016,PDCD6,TCGA-24-1431-01,1,0.2889
211,10016,PDCD6,TCGA-24-1435-01,1,0.2976
212,10016,PDCD6,TCGA-24-1436-01,1,-0.0656
213,10016,PDCD6,TCGA-24-1464-01,0,-0.1069
214,10016,PDCD6,TCGA-24-1474-01,0,-0.3475
215,10016,PDCD6,TCGA-24-1544-01,1,0.0447
216,10016,PDCD6,TCGA-24-1548-01,-1,-0.4054
217,10016,PDCD6,TCGA-24-1553-01,1,0.0872
218,10016,PDCD6,TCGA-24-1555-01,1,0.7085
219,10016,PDCD6,TCGA-24-1557-01,2,0.4557
220,10016,PDCD6,TCGA-24-1558-01,0,0.1777
221,10016,PDCD6,TCGA-24-1562-01,0,0.2237
222,10016,PDCD6,TCGA-24-1565-01,0,0.0491
223,10016,PDCD6,TCGA-24-1920-01,1,-0.3445
224,10016,PDCD6,TCGA-24-1927-01,-1,-0.3626
225,10016,PDCD6,TCGA-24-2024-01,0,-0.0929
226,10016,PDCD6,TCGA-24-2030-01,1,0.1331
227,10016,PDCD6,TCGA-24-2033-01,1,0.2991
228,10016,PDCD6,TCGA-24-2261-01,0,-0.1243
229,10016,PDCD6,TCGA-24-2289-01,1,-0.0494
230,10016,PDCD6,TCGA-24-2290-01,0,0.1955
231,10016,PDCD6,TCGA-24-2298-01,1,-0.0017
232,10016,PDCD6,TCGA-25-1312-01,-1,-0.3274
233,10016,PDCD6,TCGA-25-1313-01,0,-0.0281
234,10016,PDCD6,TCGA-25-1318-01,2,0.131
235,10016,PDCD6,TCGA-25-1322-01,2,0.1642
236,10016,PDCD6,TCGA-25-1323-01,-1,-0.3036
237,10016,PDCD6,TCGA-25-1329-01,1,0.4011
238,10016,PDCD6,TCGA-25-1623-01,1,0.0757
239,10016,PDCD6,TCGA-25-1628-01,0,-0.1836
240,10016,PDCD6,TCGA-25-1631-01,1,0.0501
241,10016,PDCD6,TCGA-25-2396-01,1,0.1868
242,10016,PDCD6,TCGA-25-2397-01,0,0.2032
243,10016,PDCD6,TCGA-25-2399-01,0,-0.1192
244,10016,PDCD6,TCGA-25-2404-01,1,-0.156
245,10016,PDCD6,TCGA-29-1688-01,2,0.6932
246,10016,PDCD6,TCGA-29-1690-01,0,-0.2745
247,10016,PDCD6,TCGA-29-1693-01,1,-0.0548
248,10016,PDCD6,TCGA-29-1696-01,1,0.5199
249,10016,PDCD6,TCGA-29-1697-01,1,0.022
250,10016,PDCD6,TCGA-29-1698-01,0,-0.2275
251,10016,PDCD6,TCGA-29-1702-01,-1,-0.7459
252,10016,PDCD6,TCGA-29-1705-01,0,0.0516
253,10016,PDCD6,TCGA-29-1710-01,0,-0.3214
254,10016,PDCD6,TCGA-29-1711-01,0,0.07
255,10016,PDCD6,TCGA-29-1762-01,0,-0.3866
256,10016,PDCD6,TCGA-29-1763-01,1,0.1879
257,10016,PDCD6,TCGA-29-1766-01,2,0.4247
258,10016,PDCD6,TCGA-29-1768-01,1,-0.5493
259,10016,PDCD6,TCGA-29-1769-01,1,0.1163
260,10016,PDCD6,TCGA-29-1770-01,1,0.4765
261,10016,PDCD6,TCGA-29-1771-01,0,0.0426
262,10016,PDCD6,TCGA-29-1785-01,-1,-0.5975
263,10016,PDCD6,TCGA-29-2427-01,0,0.0913
264,10016,PDCD6,TCGA-29-2431-01,0,0.0657
265,10016,PDCD6,TCGA-30-1887-01,1,-0.1581
266,10016,PDCD6,TCGA-30-1891-01,1,0.3261
