Gene,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
SUGP1,0.1291423305714893,4.3214119917931383e-10,119,0.28422866742527353
CCAR2,0.26377486983154663,2.4095959853208446e-18,119,0.48054096838411875
CYP4F11,0.05056048329779675,0.38437993373398394,89,0.008709033816267753
PTPRA,0.1659897477931904,1.9167361704622785e-10,119,0.2939152484066955
PTPRF,0.18032601880877744,1.1429058900213195e-05,119,0.15234293450444547
ACTA1,-0.008725154929577466,0.8909171588805197,114,0.00016866938190396308
PTX3,0.3533230410447762,0.0018753017054840857,105,0.09000378498666117
PEX5,0.12413628745024095,2.5273377484872018e-08,119,0.23387659806016148
KMT2C,0.05865944089649357,0.2235264388938355,100,0.015080593717926916
EPS15L1,0.15896010776292147,1.2757176891820426e-10,119,0.2987198517582399
WIZ,0.19780204751131225,2.9737640167778515e-09,113,0.2727749418221945
BCAT1,0.21692354822205182,0.02886545194591866,119,0.040162680050341404
RAB2A,0.16700018652076587,2.9461488178559157e-10,119,0.2888085643381576
RAB4A,0.0708232456140351,0.05457389913811533,119,0.031218885325526857
RAB6A,0.13459792878752613,8.874722271388509e-08,119,0.21769743690903298
RAD21,0.010557512456880023,0.5983790018635431,119,0.0023786676176160704
RAD23A,0.24480553034123384,2.735146404539317e-17,119,0.4587230433297801
BCHE,0.07610766219239377,0.3898586977390148,59,0.013000534052741042
RAP2B,0.10299551609990976,0.03684537193774085,119,0.03671212200306728
RARRES1,0.0900609793814433,0.4906713096899832,57,0.008678283720149005
RARRES2,0.01097677754311863,0.8330003294261172,119,0.00038155349151181017
RASA2,0.08026499315381104,0.004408781997073076,114,0.07012799331866693
RB1,0.2919359437250995,1.595947380765633e-08,119,0.23972296891829836
KDM5A,0.06087039561416502,0.03803581830275509,110,0.03924011143434902
UBL5,0.18951192331351233,2.0023126679647384e-14,101,0.4479160156608065
SENP2,0.0851435114503817,0.08503671556885975,90,0.03332698891178709
GNB4,-0.0001550028752156467,0.9978839925705295,117,6.142506547845983e-08
RBM3,0.06817509316770183,0.050017799590671035,119,0.03243055645591619
RBP1,-0.16275909636745722,0.0357545504940423,119,0.037135597148776234
RECQL,0.1602754374158815,1.4131308179977583e-07,119,0.21162930357763798
UPF1,0.14281853512705533,5.0715384148169265e-17,119,0.45303595625136994
BCL2L1,0.1512896385542169,0.004173297213883336,119,0.06801865322610712
RFC4,0.13423282674772033,1.9633046486249305e-05,119,0.14480334147638196
RFX1,0.17464443612774447,4.017637388367912e-10,117,0.2892797560218866
RFX5,0.14638607247796287,0.0015043486596153265,114,0.08637892684905091
RHEB,0.2378422110552764,8.568166607336253e-14,119,0.3798383173103417
RIT1,0.008829655586704052,0.8844254267022056,111,0.00019472529778952197
RLF,0.02156616541353384,0.7952449264993284,49,0.001447109677992886
EXOC4,0.03928543622624227,0.007932970775495814,119,0.05870684988788155
CCDC90B,0.19705659259259264,1.885547046848436e-09,119,0.26635905515561775
FASTKD5,0.16272790668348042,3.7266377819030705e-05,119,0.13581059981282062
BCL9,0.09214414732593336,0.0740228344248821,103,0.031256335269493785
RPL8,0.001952025028441413,0.8880809861926681,119,0.00016999030383191283
RPL18A,-0.015949435090828527,0.4395703700797601,119,0.005114746591335373
RPL30,0.0022346278317152066,0.8731523701922896,119,0.000218771577757515
RPL35A,0.030078891585760513,0.06651532352170043,119,0.028486977639362143
MRPS12,0.06929842696629208,0.006313331462572908,119,0.06201418408129189
RPS3,0.013896607303877373,0.3240332856176713,119,0.008313621539966287
RPS16,0.023445903461416343,0.20385735450592943,119,0.013762773987539778
BDH1,0.30571085709733925,4.3758616712121e-08,119,0.22684260915938959
RPS20,-0.004738367346938765,0.8685218325847076,119,0.00023518291676660752
RPS21,-0.010400955703883484,0.6100671006240146,119,0.0022299102948460936
RREB1,0.09367409638554221,0.0005431889156127603,116,0.10001773467644082
S100A1,0.5509474256475856,0.0004054278928468643,119,0.10178983448107959
S100A2,0.24563902768399715,0.17430307112434926,117,0.01598880068171704
S100A4,0.19316936360729134,0.05630797754012082,119,0.03078527009749632
S100A6,0.224703693636073,0.036242376206596,119,0.03694458976801773
S100A7,-0.46943237288135603,0.10560435966948585,69,0.038613098354316366
S100A8,-0.11236845056065226,0.3799022388041835,119,0.006596254191924333
S100A10,0.1014872727272727,0.2689293539612353,119,0.010436013183318549
S100A11,0.12634492727272728,0.05919763084183612,119,0.030092859520368886
S100A12,-0.04770114636642779,0.6805054017118437,106,0.001636875044124242
S100A13,0.2717058842340902,0.00013652882150582888,119,0.11739826673535525
