Biomarker,Target,Tractability_Flags,Tractability_Interpretation,Known_Drugs,Approved Drug,Advanced Clinical,Phase 1 Clinical,Clinical Precedence,Structure with Ligand,High-Quality Ligand,High-Quality Pocket,Druggable Family
FBXL6,ESF1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
COPG2,SMARCA5,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
COPG2,YTHDC1,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
MTDH,COX20,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AGO2,ATP2B1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AGO2,NHLRC2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AGO2,PARN,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,1,0
AGO2,PSME3,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AGO2,RHPN1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AGO2,SLC7A1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AGO2,UBQLN4,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
GOLIM4,ACTR3,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
GOLIM4,PDS5B,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
KCTD21,ACLY,5,HIGH tractability (approved drug exists),BEMPEDOIC ACID,1,0,0,0,1,1,1,1
KCTD21,ARID1A,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
ALG8,BCS1L,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
ALG8,BRPF1,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
ALG8,CFDP1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
ALG8,COA7,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
KCTD21,DPRX,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
KCTD21,FAM98C,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
KCTD21,KDM2A,4,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,1,1
KCTD21,LENG8,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
KCTD21,MEN1,3,MODERATE tractability (clinical-stage target),REVUMENIB; SNDX-5613,0,0,1,0,1,1,0,0
KCTD21,MRPL33,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
KCTD21,MRPS12,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
KCTD21,MRPS23,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
KCTD21,MYBL2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
KCTD21,NSMCE2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
KCTD21,PRPF39,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
KCTD21,RICTOR,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
KCTD21,SUZ12,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
ALG8,TAFAZZIN,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
KCTD21,TIMM17A,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
KCTD21,TOE1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
