Gene,T-statistic (Amplification vs Neutral),P-value (Amplification vs Neutral),Cohen's d (Amplification vs Neutral),T-statistic (Deletion vs Neutral),P-value (Deletion vs Neutral),Cohen's d (Deletion vs Neutral)
AKT3,1.333524361191163,0.2852760988748709,0.8009288170811426,,,
HDAC6,1.7875611456659215,0.1449776493398215,1.6200098285675195,,,
PDCD6,5.556051994244823,0.0002037474277466,2.1444199424732244,,,
CDH6,1.3146836034544451,0.2463271872219943,0.5672855483108501,,,
RANBP9,2.4992471387377813,0.0284566484531281,1.0505571335641666,,,
DNAJB6,3.386940452292764,0.0045747085320748,1.3391048464006334,,,
SMC4,2.8891757402449163,0.0077779397293108,0.95732893638675,,,
AP1M2,-0.1378754866072135,0.8938528206856976,-0.0538474172349142,,,
UBA2,3.4835663363744707,0.0083031461233693,1.8591488743176852,,,
DNM1L,3.1604913217285557,0.0457727331280043,2.1661244689047603,,,
ABCF2,5.768713669850949,5.024209825869541e-05,2.3999651649880813,,,
SCAMP3,2.3393323513347424,0.0644411879614531,1.972939063231463,,,
PQBP1,1.215187344508622,0.2808193863354862,0.7311104984930539,,,
ARFRP1,2.657407580601129,0.0358075642697448,1.3581575980102891,,,
SUGP2,2.549704805567456,0.0509488840708799,1.2458127232062712,,,
LPCAT3,3.076306295098642,0.0181524197965466,1.686217349766644,,,
SORBS3,,,,-2.0802398140038245,0.0575305065868101,-0.8990886328935479
ALG3,3.303408874866839,0.0020909590707954,1.042779802883434,,,
CDK5,4.991947908854222,0.0002833195122727,2.4013774878208998,,,
DDX39A,2.954014682579236,0.0086017391781744,0.9567679764067766,,,
TIMM17B,1.2790123416682586,0.2575959865689479,0.7216747744162874,,,
SF3B4,0.7593939195763313,0.4711338242427842,0.3409038021142453,,,
ZMPSTE24,5.80791014368351,3.752473007509447e-05,2.572530999067828,,,
AKAP8,4.380701079474118,0.0003735236810612,1.5061758917618162,,,
STAG1,0.298409458897438,0.7707786535273636,0.1107799946340277,,,
RGS19,1.0301976105884494,0.3694130379104279,0.6709744568085142,,,
PAK4,5.621561923312649,0.0002763839320669,2.8503754513499104,,,
AKR1A1,2.779612614071689,0.0263755444278164,1.2569964268656255,,,
DLC1,,,,1.5022391515225728,0.1756776054679174,0.7307397538998996
NDRG1,4.022353848227549,0.0001855656694619,0.9488206236487772,,,
CPQ,2.124988469381578,0.0531250743454411,0.8306410998096787,,,
BASP1,2.0356658646685664,0.0747459290129546,0.705519308944605,,,
TMEM147,0.5304094937910738,0.6197800098214561,0.3092545135544648,,,
LYPLA1,3.863144620737852,0.0168163448265908,3.451805932195865,,,
EMG1,1.5946374150395048,0.151660623001211,0.732799844078927,,,
PPIE,4.397875065580777,0.0004507101053497,1.858348221746541,,,
ECI2,3.2430761848474763,0.0040011192065097,0.970923352934763,,,
PPIH,4.472585315775711,0.0011801233716209,2.338845670885892,,,
CAP1,4.56426645895047,0.0002621783080031,1.7414315697495932,,,
LRRC41,2.6516941343883,0.0235919619009264,1.034769116501853,,,
CARM1,2.13469043492161,0.0669903222373947,1.344855416412456,,,
NCOA2,4.087161127939811,0.0056593821557044,1.4795505957255697,,,
CHERP,2.960771703789164,0.0124602868576844,1.132722671664467,,,
IPO8,3.6261069584946144,0.0090510657721219,1.3935829110429994,,,
RNASEH2A,2.311980422494823,0.0403558060722994,0.8414528698213486,,,
ARFGEF1,4.666808132792164,0.0042410232362607,2.898320480820338,,,
DNPH1,2.7231671105425623,0.0453319590407039,1.3451155970139088,,,
POLR3C,1.5299642187075764,0.167553167973715,0.6675514902693664,,,
TXNIP,-0.2891670371692749,0.7787613025585481,-0.1135865205217605,,,
IGF2BP2,1.2990359207468107,0.2048878597773234,0.416683399591058,,,
SPINT2,4.4202315635141725,0.0011716972689428,2.2117530070583657,,,
PMVK,3.052008518626605,0.0252311654836031,1.1818853362963062,,,
KHDRBS3,2.4902659911797285,0.0165990887682469,0.6508212971497734,,,
FARS2,4.638217010333244,0.0001707804530064,1.3415254255434732,,,
DCTN6,,,,-2.27263612158483,0.0473504663678154,-0.999758654963954
EBP,3.2501756757190075,0.0251125614513737,1.8062778448252077,,,
POLD3,2.151062214667516,0.0713300588460574,1.291877153535194,,,
SLC12A7,2.737448362956573,0.0236085679413005,1.5739458266620847,,,
CTSC,0.6179169028974726,0.5844052214255948,0.2245934097459546,,,
GIPC1,2.6248084891706487,0.0232774040624672,1.1748477554760912,,,
NUP50,,,,-2.280401969042126,0.0528092013707729,-1.2857711350802108
POP4,0.498967852845487,0.6219514983607661,0.1424687644920003,,,
RPP40,0.8255816369974794,0.4203834895713602,0.2728723210435434,,,
STARD10,1.7728243798771215,0.1116431211223842,1.0720702297271305,,,
ADAM28,,,,-1.8169868646836076,0.0951270588665723,-0.8891689191334726
TSPAN9,1.727881323447516,0.1186542780887559,0.8106828693706066,,,
ME3,0.7572184940582826,0.4740515200186944,0.284473596998789,,,
SUB1,3.2974611144436627,0.0150933243083397,2.2768544520784544,,,
SF3A3,1.134481518946288,0.2739604007113009,0.4303612339858566,,,
EBNA1BP2,-1.2215756895902383,0.246980262770088,-0.3878272722477318,,,
SLC27A3,2.587943623048305,0.0197046832359931,0.717972496611083,,,
TMED1,2.4605955249141944,0.0450777376033031,1.1216736327035357,,,
TDRKH,0.7444264572050271,0.488419186038957,0.572453053709752,,,
RBPMS,,,,-5.690463156462118,1.525405790830237e-05,-1.5820905115989052
ADRM1,3.476414219937105,0.0031487505119757,1.1918497191752366,,,
OGFR,5.52566150732213,7.03485337856246e-05,1.9247701672200848,,,
TPPP,0.1506538966745481,0.8829344944993119,0.055665508536089,,,
CHD4,-1.3724174072609294,0.1938120030922789,-0.4322215829474602,,,
DIDO1,1.713728929125795,0.1251582784106286,0.9844530744891232,,,
PRSS23,0.3062297425044465,0.7680154354721894,0.0910780954797758,,,
POLR3A,-0.0499760676703819,0.9608843699052154,-0.0160586389519417,,,
CDC37,4.166709497215859,0.0011685065606628,1.554480800822368,,,
WDR45,1.854324773538113,0.1447009993812439,1.3117318881539757,,,
PTP4A3,1.637164120893328,0.1088075217738035,0.4545906338088671,,,
