Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared,P-value (FDR),Significant (FDR<0.05)
RGS19,10287,-0.03327150684931508,0.5782879520092528,104,0.0030397692523665976,0.646460108953433,False
PAK4,10298,0.24812175715214566,2.2406641839142766e-13,119,0.36970288472790513,4.32408877597492e-12,True
AKR1A1,10327,0.09308925619834704,0.003219551435342665,119,0.07178545813331594,0.0062570787612666635,True
DLC1,10395,-0.019155191256830646,0.8262357658184666,119,0.0004135950107134745,0.8614780496685434,False
NDRG1,10397,0.21959825388026605,2.088937293735543e-05,119,0.1439358967268024,6.330113011319826e-05,True
CPQ,10404,0.1517437484677617,0.005369276349531934,119,0.06436245780726924,0.00981097007389556,True
BASP1,10409,0.12599939967982926,0.16640328015642675,119,0.01630359070122478,0.218168782088283,False
TMEM147,10430,0.028381712243629575,0.45601088881849594,95,0.00598911274402858,0.5295768457957112,False
LYPLA1,10434,0.2163970003014771,1.8403605328786767e-11,119,0.32115070577938964,2.3539495187983073e-10,True
EMG1,10436,0.08100397703977039,0.006548689212849434,119,0.061483790032687224,0.011656242935492521,True
IFI30,10437,0.045938330361123526,0.34512196812945817,119,0.007621465119947546,0.4190222571108212,False
PPIE,10450,0.17163471636642397,1.3560482114029748e-08,119,0.24178495646903908,8.286961291907069e-08,True
ECI2,10455,0.19010496644295302,3.1816181919655687e-07,119,0.20094465224040092,1.434336070148412e-06,True
PPIH,10465,0.20521225870867543,2.245087815814618e-10,119,0.29204086238642946,2.1854837145098052e-09,True
CAP1,10487,0.17344917592947495,3.859455791229495e-09,119,0.25752246512330823,2.738968626033835e-08,True
LRRC41,10489,0.09886283489809941,0.08335328189379619,119,0.025407439612449845,0.11878186156075538,False
CARM1,10498,0.2195537949692892,2.580164501288897e-13,119,0.36820203213665026,4.810476188843706e-12,True
NCOA2,10499,0.09607586155894098,9.642901722545756e-05,110,0.13188925412409458,0.0002531549378233969,True
CHERP,10523,0.08676491422805246,0.0002911941376388223,119,0.10655071316452736,0.0006903309297472081,True
IPO8,10526,0.1576775030156815,5.6504032082189546e-06,119,0.1620844707769058,1.9423261028252656e-05,True
PITRM1,10531,0.18036427272727273,2.599998728743705e-05,119,0.14087016432643928,7.796422898587429e-05,True
RNASEH2A,10535,0.08564706628339536,0.0037348190388553915,119,0.06963004343674284,0.0070832774874843634,True
ARFGEF1,10565,0.2034820841633466,2.1819781141630843e-12,119,0.3450659729288684,3.428822750827704e-11,True
DNPH1,10591,0.194008453993461,9.906024526011707e-07,119,0.18578489098793172,4.020895564063793e-06,True
POLR3C,10623,0.028660638297872354,0.28734319808701125,117,0.00983786514938112,0.3547446889963102,False
TXNIP,10628,0.010041952789699582,0.8420635704720899,105,0.0003872608729874605,0.8746647096499517,False
